ID	Raven	CF	Color	Big	Small	Woval	Wrec	Boval	Brec	Color4	Color8	Woval4	Woval8	Wrec4	Wrec8	Boval4	Boval8	Brec4	Brec8	DigSym	RedBlueAccuracy	RedBlueRT	RedAcc	RedRT	BlueAcc	BlueRT	g	Slots	Resolution	SpeedDigitRedBlue	SpeedRedBlue
99	20	25	4.06	.09	5.33	.31	-.13	5.14	5.53	3.88	4.25	.86	-.25	.25	-.5	3.86	6.42	4	7.06	79	1	389.2	1	374.13	1	386.43	-.41904	1.7657	-1.49606	-.25206	-.03024
201	30	37	4.06	2.49	3	3.03	1.95	2.98	3.02	3.38	4.75	3.12	2.93	2.15	1.74	3.21	2.76	2.55	3.49	74	.93	477.75	.93	525.73	.93	482.87	2.22713	-.07705	1.22806	-1.45531	2.25086
202	23	25	4.56	4.18	4.68	3.7	4.66	4.45	4.91	3.38	5.75	2.81	4.59	3.13	6.19	3.08	5.82	3.63	6.19	76	.92	394.74	.94	331.89	.9	393.63	-.0808	.89834	2.90591	-.44014	-.3377
203	28	27	2.69	.38	3.44	.55	.21	3.8	3.08	3.13	2.25	.13	.97	.65	-.23	2.63	4.97	2.67	3.49	63	1	350.03	1	369.06	1	348.94	.73605	-.03994	-.91264	-.48471	-.4365
204	22	26	3.94	.81	4.81	.44	1.19	4.46	5.16	3.88	4	.58	.29	.5	1.89	2.95	5.98	3.43	6.89	70	1	453.35	1	400.37	1	450.24	-.06699	1.23489	-.61296	-1.34971	.81837
301	24	25	3.25	3.16	3.38	4.47	1.84	4.26	2.5	3.25	3.25	3.61	5.33	3.03	.66	3.47	5.04	3.03	1.97	74	.96	341.67	.98	401.05	.95	344.45	.03195	-.18242	1.84935	.07115	-.19438
403	18	29	3.25	1.66	2.84	1.85	1.47	3.15	2.53	3	3.5	1.13	2.57	.05	2.89	1.78	4.51	2.77	2.29	84	.92	404	.95	397.22	.88	404.63	-.1383	-.40307	.47178	-.20806	.35105
404	26	26	2.81	-.15	2.28	.14	-.43	1.63	2.93	2.63	3	.82	-.53	-.37	-.5	2.49	.78	2.81	3.06	75	1	349.17	1	359.47	1	347.74	.384	-.63058	-1.42331	.02894	-.53354
405	25	24	3.44	1.8	3.67	.65	2.95	3.12	4.21	2.88	4	.71	.6	2.66	3.24	2.27	3.98	3.27	5.15	80	.97	436.02	.95	446.78	1	435.81	.01814	.11385	.63883	-.7353	1.09341
406	18	24	3.81	1.99	4	3.62	.35	3.93	4.08	3.63	4	3.2	4.05	1.57	-.86	3.47	4.39	3.41	4.74	95	.94	316.12	.98	361.23	.9	313.97	-.77109	.65494	.43579	1.23974	-.84307
501	21	20	1.94	.11	2.22	-.25	.48	2.18	2.27	2.38	1.5	-.23	-.27	2.05	-1.1	2.06	2.3	1.98	2.55	63	.99	372.46	.98	378.27	1	375.3	-.93908	-1.09737	-1.00017	-.73628	-.10048
502	14	21	3.69	.41	2.32	.56	.26	1.9	2.74	3.88	3.5	1.42	-.31	.61	-.1	2.2	1.6	3	2.49	96	.98	354.23	1	369.62	.95	352.12	-1.60175	-.3904	-.82103	.85418	-.40086
503	22	26	3.31	1.96	4.26	3.14	.78	4.8	3.72	3.88	2.75	2.51	3.77	1.98	-.41	3.55	6.06	3.48	3.97	93	.99	349.37	1	322.18	.97	351.47	-.06699	.58863	.49639	.78271	-.83022
504	22	20	3.38	2.71	4.19	2.35	3.06	3.93	4.44	3.5	3.25	2.84	1.87	2.91	3.22	3.51	4.34	3.01	5.88	107	.98	383.66	1	368.13	.95	384.45	-.82634	.36314	1.42803	.98607	-.10281
